,Movie,ReviewUrl,ReviewDate,ReviewTitle,Review,Rating,Language,cluster
0,Rocky,http:/review/rw4247059/?ref_=tt_urv,2018-07-21,Rubbish,The fight scenes are pathetic and the acting is laughable. Rubbish,1,English,1
1,Rocky,http:/review/rw0149538/?ref_=tt_urv,1999-11-25,"Dumbest, Most Cornball Film Ever Made","I still remember my initial outrage that this piece of sentimental slop was even made. As unrealistic as they get, this movie included so many cliches, stupidities, and bad acting that it proves for all time just how ignorant Hollywood and the movie-going public really are.",1,English,1
2,Rocky,http:/review/rw0149534/?ref_=tt_urv,1998-08-19,overrated piece of cheese,"grubby late-night fare achieved way too much success with a primitive story out of 1912.  A silly promotional song, laughable script and performances.  I have no clue why this picture, wearing its heart on its sleeve, ever achieved the critcal appreciation that it did.  This high -concept film is decently enough made, but it helped herald the wave of no -brain feel-good fare of the eighties to the present.  It is also incredibly racist, and seems to suggest that a boxing champ ""should"" be white, even though Apollo Creed does win the bout, the audience is supposed to be aghast.  More ghastly is this idiot in the ring who has his eyelid cut with a razor blade so he can keep on fighting.  I never bothered with the sequels, but Aki Kaurismaki's _Rocky VI_ ought to be even more laugh -provoking than this film.",2,English,3
3,Rocky,http:/review/rw1979442/?ref_=tt_urv,2008-11-22,The most overrated movie of all time,"I went to see this movie when it came out. I had never heard of Sylvester Stallone and had no expectations or preconceptions other than it was supposed to be a good depiction of boxing. I hated it when I walked out of the theater in 1976, and I hate it even more now. The film is one of sappiest pieces of melodramatic tripe I've ever seen. Every character is a stereotype, and every turn of its derivative, amateurish plot can be anticipated from 50 miles away. Now for the boxing -- a Popeye cartoon has more realistic action. It rivaled the most ludicrous exhibitions staged in professional wrestling matches, and any combatant who endured two minutes of the kind of pummeling depicted in the title fight would be brain dead. My contempt for this trash reached even greater depths when I watched it beat out three outstanding movies -- Network, Taxi Driver, and All the President's Men -- for the best picture Oscar (I've never seen Bound for Glory, but I have no doubt it was also a far better movie than this drivel). I can somewhat understand that a portion of the public would enjoy Rocky, but I can find no excuse for the voting of the Academy members. Shame on them for elevating this sorry excuse for a movie above such worthy contenders. It makes about as much sense as a punch-drunk bar-fighting buffoon landing a title fight with Muhammad Ali.",3,English,3
4,Rocky,http:/review/rw2406266/?ref_=tt_urv,2011-03-30,I can't believe the script was made into a movie...,"I was told by many that Rocky is a beautiful movie and I must watched. I did. The movie is set in the same annoyingly slow pace made unbearable by the clichéd characters that too are delineated horridly.

Although Stalone was not bad, the plot was. I don't even think its called a plot when you can guess the end with your eyes closed. If you enjoy watching grass grow this movie might seem a little fast paced and if you have never heard a story before or lack intellect you might find the plot gripping. 

I hated it and I want my time back. It was just overrated and I would not suggest this mind numbing movie to anyone, unless I hated them. Maybe thats why my friends told me to watch it, as a practical joke.",3,English,1
5,Rocky,http:/review/rw3647093/?ref_=tt_urv,2017-02-24,Eh....it was alright.,"I didn't particularly like this movie. Dimwitted athletes don't especially interest me. I realize many liked it, but there is no accounting for the public's taste. I generally enjoy most sports movies, too. I realize that this wasn't a pure sports movie, but I just couldn't get into it. The music irritated me, too. I can't believe they are still playing that annoying music.",3,English,3
6,Rocky,http:/review/rw3451942/?ref_=tt_urv,2016-04-15,Hate me if you want but I didn't like this film,"I'm going to come out and say it. I didn't like this film. I know that this is going to get me hate, but it's the truth. I don't have any interest in boxing, so the film's content or Rocky's struggle didn't really resonate with me, as well as it could have done. I didn't particularly like Stallone's portrayal of Rocky either. Between his mumbling and his shouting, I couldn't understand anything that he was saying. This didn't really help with me empathising with the character. Although all credit to the set-designers. Rocky's apartment did look like a horrible place to live with the peeling wallpaper.

Just thank God, Burgess Meredith was in it.

Read my full review for more: http://goo.gl/mM9IxQ",3,English,1
7,Rocky,http:/review/rw1320822/?ref_=tt_urv,2006-03-20,an iconic film,"'Rocky' is a film about a boxer who goes to ultimate levels to become a champion of the ring. Along the way, he gathers confidence and meets a young woman who gives him the strength that he needs. This is a story of endurance and love, and it is one of the most quoted films of all time with the line 'Yo, Adrian! I did it!' There's also the famous clips of Rocky running, getting exercise to build up his endurance. This is filmed with the Rocky theme, 'Gonna Fly Now'. The story drags on a little bit, but those moments are worth fighting for. Not a bad film, and it does have a good choice of music and gives you a sense of hope.",4,English,3
8,Rocky,http:/review/rw3057512/?ref_=tt_urv,2014-07-28,it's a man's romance.,This may have one our two fight scenes. But it is meanly a romance. O.k so Sylvester Stallone is the star of this movie. And he is playing a t.u.f guy. But meanly it is about him his girl friend. Sylvester Stallone is star of this movie to sell a romance movie to men. Rocky II is better. Not that Rocky II is good. It is pretty bad. But not as bad as this one. It is so overrated. Rocky III is better. Rocky III is better. Rocky III is pretty bad but not has bad as this one. This is all hype. It is not action movie. It is a man's romance. And don't like to many romance movies. Overrated overrated overrated hype hype hype. And no action. Sports yes. Action no.,4,English,1
9,Rocky,http:/review/rw3218345/?ref_=tt_urv,2015-04-11,Vastly overrated,"Vastly overrated.

Not sure how this got to be regarded so highly, and won the Best Picture Oscar in 1977. Story isn't too plausible and is quite dull in spells. 

The opening setup was interesting, as it painted a picture of a man in a dead-end situation. But then, just when you think the movie is going to be how he gradually works himself out of that situation, it turns out that it is all about winning a lottery, rather than hard work, essentially.

The only thing that made it watchable after that was the fight scene, right at the end. The Rocky-Adrian relationship is implausible, contrived and clumsy.

To add insult to injury, Sylvester Stallone got a Best Actor Oscar nomination for his series of monosyllabic grunts that pass for dialogue. In total Rocky received three Academy awards plus seven other nominations. Of these, only the nomination for Best Original Song was deserved. 

One of the most over-rated and over-awarded films in history.",4,English,1
